Name,Born,Height,Weight,Division,Reach,Style
Leon Edwards,"Leon Edwards (1991-08-25) 25 August 1991 (age 27)Kingston, Jamaica",6 ft 2 in (1.88 m),170 lb (77 kg; 12 st),Middleweight Welterweight,74 in (188 cm)[2],Not Available
Rafael dos Anjos,"(1984-10-26) October 26, 1984 (age 34)Niterói, Rio de Janeiro, Brazil[1]",5 ft 8 in (1.73 m)[2],170 lb (77 kg; 12 st)[2],Lightweight (2004-2016) Welterweight (2017-present),70 in (178 cm)[2],"Brazilian Jiu-Jitsu, Muay Thai"
Walt Harris,"Walter Jermaine Harris (1983-06-10) June 10, 1983 (age 36)Birmingham, Alabama, United States",6 ft 5 in (1.96 m),258 lb (117 kg; 18.4 st),Heavyweight,81 in (206 cm)[1],Not Available
Aleksei Oleinik,"Oleksíy Oleksíyovych Olíynyk (1977-06-25) June 25, 1977 (age 42)[1]Kharkov, Ukrainian SSR, Soviet Union",6 ft 2 in (188 cm)[4],235 lb (107 kg; 16 st 11 lb),HeavyweightLight heavyweightMiddleweight,80 in (200 cm)[5],"Combat Sambo, Jujutsu, Brazilian Jiu Jitsu"
Greg Hardy,"(1988-07-28) July 28, 1988 (age 30)",6 ft 5 in (1.96 m),265 lb (120 kg),Heavyweight,80.5 inch (204cm),Boxing
Juan Adams,"(1992-01-16) January 16, 1992 (age 27)Houston, Texas, United States",6 ft 5 in (1.96 m),265 lb (120 kg; 18 st 13 lb),Heavyweight,81 in (206 cm)[1],Wrestling
Dan Hooker,"Daniel Hooker (1990-02-13) 13 February 1990 (age 29)Auckland, New Zealand",6 ft 0 in (1.83 m)[1],155.5 lb (70.5 kg; 11.11 st),"Featherweight (2012, 2014-2016)Lightweight (2009-2012, 2017-present)",75 in (191 cm)[1],"Muay Thai, Brazilian Jiu-Jitsu"
James Vick,"(1987-02-23) February 23, 1987 (age 32)Mineral Wells, Texas, United States",6 ft 3 in (1.91 m),155 lb (70 kg; 11.1 st),Lightweight (2011–present)  Welterweight (2011),76 in (193 cm)[1],"Boxing, Brazilian Jiu-Jitsu"
Alexander Hernandez,"(1992-10-01) October 1, 1992 (age 26)St. Louis, Missouri, United States",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),Lightweight (155 lbs) (2014–present)  Featherweight (145 lbs) (2012–2013),72 in (183 cm),Not Available
Francisco Trinaldo,"(1978-08-24) August 24, 1978 (age 40)Amarante, Piauí, Brazil",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11.1 st),Lightweight (2006-present)Middleweight (2012),70 in (178 cm)[1],"Kickboxing, Submission Wrestling"
Andrei Arlovski,"(1979-02-04) 4 February 1979 (age 40)Babruysk, Byelorussian SSR, Soviet Union (now Belarus)",6 ft 3 in (191 cm),249 lb (113 kg; 17 st 11 lb),Heavyweight,77 in (196 cm)[1],"Kickboxing, Sambo, Brazilian Jiu-Jitsu"
Ben Rothwell,"(1981-10-17) October 17, 1981 (age 37)Kenosha, Wisconsin, United States",6 ft 4 in (193 cm)[1],265 lb (120 kg; 18 st 13 lb),Heavyweight,78 1⁄2 in (199 cm) [1],"Kickboxing, Brazilian Jiu-Jitsu"
Alex Caceres,"Alex Caceres (1988-06-20) June 20, 1988 (age 31)Miami, Florida, United States",5 ft 10 in (1.78 m)[1],145 lb (66 kg; 10.4 st),Bantamweight Featherweight Lightweight,73 1⁄2 in (187 cm)[2],"Jeet Kune Do, BJJ"
Steven Peterson,"(1990-05-29) May 29, 1990 (age 29)Redondo Beach, California, United States",5 ft 9 in (1.75 m),145 lb (66 kg; 10 st 5 lb),Featherweight  Bantamweight,70 in (178 cm),Not Available
Raquel Pennington,"(1988-09-05) September 5, 1988 (age 30)Colorado Springs, Colorado, United States",5 ft 7 in (1.70 m)[1],135 lb (61 kg; 9.6 st),Bantamweight,67 1⁄2 in (171 cm),Boxing
Irene Aldana,"(1988-03-26) March 26, 1988 (age 31)Culiacán, Mexico",5 ft 8 in (1.73 m),135 lb (61 kg; 9.6 st),Bantamweight,68.50 in (174 cm)[2],Not Available
Jennifer Maia,"Jennifer Gonçalves Maia (1988-10-06) October 6, 1988 (age 30)Curitiba, Paraná, Brazil",5 ft 4 in (1.63 m),125 lb (57 kg; 8 st 13 lb),Flyweight,Not Available,"Brazilian Jiu-Jitsu, Muay Thai, Boxing"
Roxanne Modafferi,"Roxanne Vincenta Modafferi (1982-09-24) September 24, 1982 (age 36)Wilmington, Delaware, United States[1]",5 ft 7 in (1.70 m)[2],125 lb (57 kg; 8.9 st) [2],Flyweight [3],69 in (175 cm)[2],Not Available
Ray Borg,"Raymond Anthony Borg[1] (1993-08-04) August 4, 1993 (age 25)Tucson, Arizona, United States",5 ft 4 in (163 cm),125 lb (57 kg; 8 st 13 lb),Flyweight Bantamweight (2019-present),63 in (160 cm)[2],Gaidojutsu
Germaine de Randamie,"(1984-04-24) April 24, 1984 (age 35)Utrecht, Netherlands",5 ft 9 in (1.75 m),143 lb (65 kg; 10.2 st),Bantamweight (135 lbs) Featherweight (145 lbs),71 in (180 cm),"Muay Thai, Boxing"
Aspen Ladd,"Aspen Ladd (1995-03-01) March 1, 1995 (age 24)Folsom, California, United States",5 ft 6 in (1.68 m),135 lb (61 kg; 9.6 st),Flyweight Bantamweight,66[1] in (168 cm),"Boxing, Kickboxing, Wrestling, Brazilian Jiu-Jitsu"
Urijah Faber,"Urijah Christopher Faber (1979-05-14) May 14, 1979 (age 40)Isla Vista, California, United States",5 ft 4 in (1.63 m),135 lb (61 kg; 9.6 st),Bantamweight (2003–2006; 2010–2016; 2019) Featherweight (2006–2010; 2015),67 in (170 cm)[1],"Wrestling, Muay Thai, Brazilian Jiu-Jitsu"
Ricky Simon,"(1992-08-31) August 31, 1992 (age 26)Vancouver, Washington, United States",5 ft 6 in (1.68 m),136 lb (62 kg; 9 st 10 lb),Bantamweight,69[1] in (175 cm),Not Available
Josh Emmett,"(1985-03-04) March 4, 1985 (age 34)Phoenix, Arizona, United States",5 ft 6 1⁄2 in (1.69 m)[1],146 lb (66 kg; 10.4 st)[2],"Featherweight (2011–2014, 2017–present) Lightweight (2014–2017)",70 in (178 cm)[1],Not Available
Mirsad Bektić,"(1991-02-16) February 16, 1991 (age 28)Srebrenica, SFR Yugoslavia (today Bosnia and Herzegovina)",5 ft 8 in (1.73 m),145 lb (66 kg; 10 st 5 lb),Featherweight,70 in (178 cm)[1],"Freestyle Wrestling, Boxing, Karate"
Karl Roberson,"Karl Roberson (1990-10-04) October 4, 1990 (age 28)Neptune, New Jersey, United States",1.85 m (6 ft 1 in),83.5 kg (184 lb; 13 st 2 lb),HeavyweightLight HeavyweightMiddleweight,74.0 in (188 cm),Not Available
Marvin Vettori,"(1993-09-20) September 20, 1993 (age 25)[1]Trento, Italy",6 ft 0 in (1.83 m),84 kg (185 lb; 13 st 3 lb),MiddleweightWelterweight,74 in (188 cm),Not Available
Cezar Ferreira,"Cezar Jesus Ferreira (1985-02-15) February 15, 1985 (age 34)Ibitinga, São Paulo, Brazil",6 ft 1 in (1.85 m)[1],184 lb (83 kg; 13.1 st),MiddleweightWelterweight,78 in (198 cm),"BJJ, Capoeira"
Andre Fili,"(1990-06-25) June 25, 1990 (age 29)Federal Way, Washington, United States",5 ft 11 in (1.80 m),145 lb (66 kg; 10 st 5 lb),Featherweight,74 in (188 cm)[1],Not Available
Sheymon Moraes,"(1990-10-11) October 11, 1990 (age 28)Niterói, Rio de Janeiro, Brazil[1]",5 ft 8 in (1.73 m),145 lb (66 kg; 10 st 5 lb),FeatherweightBantamweight,72 in (183 cm)[1],Not Available
Julianna Peña,"Julianna Peña (1989-08-19) August 19, 1989 (age 29)Spokane, Washington, U.S.",5 ft 7 in (170 cm),135 lb (61 kg; 9.6 st),Bantamweight,69 in (175 cm)[1],"Kickboxing, Brazilian Jiu-Jitsu"
Nicco Montaño,"Nicco Montaño (1988-12-16) December 16, 1988 (age 30)Lukachukai, Arizona, United States[1]",5 ft 5 in (165 cm),125 lb (57 kg; 8 st 13 lb),"Flyweight (2016–2018)Bantamweight (2015–2016, 2019-present)",65 in (165 cm),"Boxing, Brazilian Jiu-Jitsu"
Ryan Hall,"Ryan Christopher Hall (1985-02-22) February 22, 1985 (age 34)Arlington County, Virginia, U.S.",5 ft 10 in (1.78 m),145 lb (66 kg; 10.4 st),Featherweight  Lightweight,Not Available,Brazilian Jiu-Jitsu
Darren Elkins,"(1984-05-16) May 16, 1984 (age 35)Portage, Indiana, United States",5 ft 10 in (1.78 m),145 lb (66 kg; 10.4 st),"Lightweight (2007-2010),Featherweight (2011-present)",71 in (180 cm)[1],Not Available
Jonathan Martinez,"(1994-04-20) April 20, 1994 (age 25)Plainview, Texas, United States[1]",5 ft 7 in (1.70 m),135 lb (61 kg; 9 st 9 lb),Bantamweight,70[1] in (178 cm),Not Available
Pingyuan Liu,"(1993-02-13) February 13, 1993 (age 26)Zhengzhou, Henan, China[1]",5 ft 6 in (1.68 m),135 lb (61 kg; 9 st 9 lb),Bantamweight,70[1] in (178 cm),Not Available
Brianna Van Buren,"(1993-08-04) August 4, 1993 (age 25)Gilroy, California, United States[1]",4 ft 11 in (1.50 m),115 lb (52 kg; 8 st 3 lb),Strawweight,62[2] in (157 cm),Wrestling[3]
Lívia Renata Souza,"(1991-03-11) March 11, 1991 (age 28)Araraquara, Sao Paulo, Brazil",5 ft 4 in (1.63 m),115 lb (52 kg; 8.2 st),Strawweight (105–115 Ib),Not Available,Not Available
Thiago Santos,"(1984-01-07) January 7, 1984 (age 35)Rio de Janeiro, Brazil",6 ft 2 in (1.88 m)[1],205 lb (93 kg; 14.6 st),Light heavyweight (currently)Middleweight (formerly)Welterweight (formerly),76 in (193 cm)[2],"Capoeira, Muay Thai, Brazilian Jiu-Jitsu"
Holly Holm,"Holly Rene Holm[1] (1981-10-17) October 17, 1981 (age 37)Albuquerque, New Mexico, U.S.",5 ft 8 in (173 cm)[2],144 lb (65 kg; 10 st 4 lb)[2],Bantamweight (MMA) Featherweight (MMA)  Light Welterweight (Boxing)  Welterweight (Boxing and Kickboxing)  Light Middleweight (Boxing),70 in (178 cm)[2],"Boxing, Kickboxing, Gaidojutsu"
Jorge Masvidal,"Jorge Masvidal (1984-11-12) November 12, 1984 (age 34)Miami, Florida, United States",5 ft 11 in (1.80 m)[1],Not Available,WelterweightLightweight,74 in (188 cm)[2],"Wrestling, Muay Thai"
Ben Askren,"(1984-07-18) July 18, 1984 (age 35)Cedar Rapids, Iowa, United States",5 ft 11 in (180 cm)[1],170 lb (77 kg; 12 st 2 lb),"Welterweight (170 lbs) (2009–2016, 2019–present)  Middleweight (185 lbs) (2016–2017)[a]",72 in (183 cm)[2],Wrestling
Jan Błachowicz,"Jan Błachowicz (1983-02-24) February 24, 1983 (age 36)Cieszyn, People's Republic of Poland, (today Poland)",6 ft 2 in (1.88 m)[1],205 lb (93 kg; 14 st 9 lb),Light heavyweight,78 in (198 cm)[1],Not Available
Luke Rockhold,"Luke Skyler Rockhold (1984-10-17) October 17, 1984 (age 34)Santa Cruz, California, U.S.",6 ft 3 in (1.91 m),205 lb (93 kg; 14.6 st),Middleweight (2007–2018) Light Heavyweight (2019–present)[1],77 in (196 cm)[2],Not Available
Michael Chiesa,"Michael Keith Chiesa (1987-12-07) December 7, 1987 (age 31)Aurora, Colorado, U.S.",6 ft 1 in (185 cm)[1],170 lb (77 kg; 12 st),"Lightweight (155 lbs) (2011–2018)  Welterweight (170 lbs) (2008–2011, 2018–present)[2]",75 1⁄2 in (192 cm)[1],"Submission Wrestling,Brazilian Jiu-Jitsu"
Diego Sanchez,"Diego Michael Sanchez (1981-12-31) December 31, 1981 (age 37)Albuquerque, New Mexico, U.S",5 ft 10 in (178 cm),170 lb (77 kg; 12 st 2 lb),"Featherweight (2015)Lightweight (2009, 2013–2017)Welterweight (2002–2008, 2010–2012, 2017–present)Middleweight (2005)",72 in (183 cm)[1],"Wrestling, Gaidojutsu,  Brazilian Jiu-Jitsu"
Arnold Allen,"(1994-01-17) 17 January 1994 (age 25)Suffolk, England, United Kingdom",5 ft 8 in (1.73 m),145 lb (66 kg; 10 st 5 lb),Bantamweight (2012–2013)Featherweight (2014–present)Lightweight,70 in (178 cm)[1],Not Available
Gilbert Melendez,"(1982-04-12) April 12, 1982 (age 37)Santa Ana, California, United States",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11 st 1 lb),Featherweight Lightweight,73 in (185 cm)[1],"Boxing, Wrestling, Brazilian Jiu Jitsu"
Marlon Vera,"Marlon Andres Vera Delgado (1992-12-02) December 2, 1992 (age 26)Chone, Ecuador",5 ft 8 in (1.73 m),Not Available,Bantamweight,70 1⁄2 in (179 cm),Not Available
Cláudia Gadelha,"Ana Cláudia Dantas Gadelha[1] (1988-12-07) December 7, 1988 (age 30)Mossoró, Rio Grande do Norte, Brazil",5 ft 4 in (1.63 m)[2],115 lb (52 kg; 8 st 3 lb),Strawweight,Not Available,"Brazilian Jiu-Jitsu, Muay Thai"
Randa Markos,"(1985-08-10) August 10, 1985 (age 33)Baghdad,[1] Iraq",5 ft 4 in (1.63 m),115 lb (52 kg; 8 st 3 lb),Strawweight,63 1⁄2 in (161 cm),"Wrestling, Jiu Jitsu"
Yadong Song,"(1997-12-02) December 2, 1997 (age 21)Hulan District, Harbin, Heilongjiang, China",5 ft 8 in (1.73 m),135 lb (61 kg; 9.6 st),Bantamweight,67 in (170 cm)[1],"Sanda, BJJ"
Alejandro Pérez,"Alejandro Pérez Domínguez (1989-09-02) September 2, 1989 (age 29)[1]Aguascalientes City, Mexico",5 ft 6 in (1.68 m)[2],135 lb (61 kg),Bantamweight,67 in (170 cm)[2],Not Available
Edmen Shahbazyan,"(1997-11-20) November 20, 1997 (age 21)United States",6 ft 2 in (1.88 m),185 lb (84 kg; 13.2 st),Middleweight,74 in (188 cm),Not Available
Jack Marshman,"(1989-12-19) December 19, 1989 (age 29)Abertillery, Wales",6 ft 0 in (1.83 m),84.5 kg (186 lb; 13 st 4 lb),Middleweight,73 in (185 cm),Not Available
Chance Rencountre,"Chance Rencountre (1986-12-31) December 31, 1986 (age 32)Pawhuska, Oklahoma, United States",6 ft 2 in (1.88 m),170 lb (77 kg; 12 st),Welterweight,74 in (188 cm)[2],Not Available
Julia Avila,"Julia Avila (1988-05-11) May 11, 1988 (age 31)Los Angeles, California, U.S.[1]",5 ft 7 in (1.70 m),135 lb (61 kg; 9.6 st),Not Available,67[1] in (170 cm),Not Available
Pannie Kianzad,"Pannie Kianzad (1991-12-08) December 8, 1991 (age 27)Ahvaz, Iran",5 ft 7 in (1.70 m),135 lb (61 kg; 9.6 st),"Featherweight (2012-2014, 2018)  Bantamweight (2014-)",68 in (173 cm),"Boxing, Shootfighting, Submission Wrestling"
Francis Ngannou,"(1986-09-05) 5 September 1986 (age 32)Batié, Cameroon",6 ft 4 in (1.93 m),265 lb (120 kg; 18 st 13 lb)[1],Heavyweight,83 in (211 cm)[2],"Boxing, Savate"
Junior dos Santos,"Junior dos Santos Almeida (1984-01-30) January 30, 1984 (age 35)[1][2]Caçador, Santa Catarina, Brazil",6 ft 4 in (193 cm)[3][4],248 lb (112 kg; 17 st 10 lb),"Heavyweight (2006, 2008−present)Light Heavyweight (2007)",77 in (196 cm)[5],"Boxing, Capoeira, Brazilian Jiu-Jitsu"
Joseph Benavidez,"Joseph Rolando Benavidez (1984-07-31) July 31, 1984 (age 34)San Antonio, Texas, U.S.[1]",5 ft 4 in (1.63 m)[1],125 lb (57 kg; 8.9 st)[2],Flyweight (115—125 Ib) (2012-present)  Bantamweight (125—135 Ib) (2006-2011)  Featherweight (135—145 Ib) (2008),65 in (165 cm)[3][4],"Wrestling, Boxing, Muay Thai, Brazilian Jiu-Jitsu"
Jussier Formiga,"Jussier da Silva Vieira (1985-04-14) April 14, 1985 (age 34)Natal, Rio Grande do Norte, Brazil",5 ft 5 in (1.65 m)[1],125 lb (57 kg; 8 st 13 lb),Flyweight,67 in (170 cm)[1],Not Available
Demian Maia,"Demian Augusto Maia Baptista (1977-11-06) 6 November 1977 (age 41)São Paulo, Brazil",6 ft 1 in (1.85 m),170 lb (77 kg; 12 st 2 lb),Middleweight (2005–2011) Welterweight (2012–present),72 in (180 cm)[1],Brazilian Jiu-Jitsu
Anthony Rocco Martin,"(1989-12-11) December 11, 1989 (age 29)Palos Heights, Illinois, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),WelterweightLightweight,73 1⁄2 in (187 cm)[2],Not Available
Vinc Pichel,"Vinc Pichel (1982-11-23) November 23, 1982 (age 36)Lancaster, California, United States",5 ft 10 in (1.78 m)[1],155.8 lb (70.7 kg; 11.13 st),Lightweight,72 in (183 cm)[1],Not Available
Roosevelt Roberts,"(1994-02-11) February 11, 1994 (age 25)Miami, Florida United States[1]",6 ft 1 in (1.85 m),155 lb (70 kg; 11 st 1 lb),Lightweight,73[2],Not Available
Drew Dober,"(1988-10-19) October 19, 1988 (age 30)Omaha, Nebraska, United States",5 ft 8 in (1.73 m)[1],155.1 lb (70.4 kg; 11.08 st),LightweightWelterweight,70 in (178 cm)[2],Not Available
Marco Polo Reyes,"(1984-11-07) November 7, 1984 (age 34)Mexicali, Baja California, Mexico [1]",5 ft 11 in (1.80 m),70 kg (154 lb; 11 st 0 lb),Lightweight,71 in (180 cm)[1],"Muay Thai, Boxing, BJJ"
Ricardo Ramos,"(1995-08-01) August 1, 1995 (age 23)Campinas, Sao Paulo, Brazil",5 ft 9 in (1.75 m),135 lb (61 kg; 9 st 9 lb),Bantamweight  Featherweight,72 in (183 cm),Not Available
Eryk Anders,"(1987-04-21) April 21, 1987 (age 32)Clark Air Base, Pampanga, Luzon Islands, Philippines[1]",6 ft 1 in (185 cm),185 lb (84 kg; 13.2 st),MiddleweightLight Heavyweight,75 in (191 cm),"Kickboxing, Brazilian Jiu-Jitsu"
Jared Gordon,"(1988-09-06) September 6, 1988 (age 30)Queens, New York, United States",5 ft 9 in (1.75 m),67 kg (148 lb; 10 st 8 lb),Lightweight,68 in (173 cm),"Wrestling, Boxing, BJJ"
Maurice Greene,"(1986-07-05) July 5, 1986 (age 33)Norfolk, Virginia, United States[1]",6 ft 7 in (2.01 m),265 lb (120 kg; 18 st 13 lb),Heavyweight,82[1],BJJ
Júnior Albini,"(1991-03-15) March 15, 1991 (age 28)Paranagua, Parana, Brazil",6 ft 3 in (1.91 m),266 lb (121 kg; 19.0 st),HeavyweightLight Heavyweight,74.0 in (188 cm),Not Available
Chan Sung Jung,"(1987-03-17) March 17, 1987 (age 32)Pohang, South Korea",5 ft 9 in (1.75 m),145 lb (66 kg),Featherweight (145 lbs)Lightweight (155 lbs),72 in (183 cm)[1],"Hapkido, Kickboxing, Taekwondo, Judo, Brazilian Jiu-Jitsu"
Renato Moicano,"Renato Carneiro (1989-05-21) May 21, 1989 (age 30)Brasília, Distrito Federal, Brazil",5 ft 11 in (180 cm),146 lb (66 kg; 10 st 6 lb),Featherweight,72 in (183 cm),"Brazilian Jiu-Jitsu, Muay Thai[1]"
Randy Brown,"Randy Brown (1990-07-08) July 8, 1990 (age 29)Springfield, Massachusetts, United States",6 ft 3 in (1.91 m),170 lb (77 kg; 12 st),Welterweight,78 in (198 cm)[1],Not Available
Bryan Barberena,"(1989-05-03) May 3, 1989 (age 30)Montclair, California, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),MiddleweightWelterweightLightweight,72.0 in (183 cm),Not Available
Andrea Lee,"(1989-02-11) February 11, 1989 (age 30)Atlanta, Texas, U.S.",5 ft 7 in (1.70 m),125 lb (57 kg; 8.9 st),Flyweight,69 1⁄2 in (177 cm),"Muay Thai, Brazilian jiu-jitsu, Kyokushin"
Montana De La Rosa,"Montana Stewart[1] (1995-02-14) February 14, 1995 (age 24)Helena, Montana, United States[2]",5 ft 7 in (1.70 m),125 lb (57 kg; 8 st 13 lb),Strawweight  Flyweight,68[2] in (173 cm),Not Available
Kevin Holland,"(1992-11-05) November 5, 1992 (age 26)Riverside, California, United States[1]",6 ft 3 in (1.91 m),185 lb (84 kg; 13 st 3 lb),Middleweight,81 in (206 cm)[2],"Kung Fu, Kickboxing"
Alessio Di Chirico,"(1989-12-12) December 12, 1989 (age 29)Rome, Italy[1]",6 ft 0 in (1.83 m),185 lb (84 kg; 13 st 3 lb),Middleweight Light Heavyweight,74 in (188 cm),Not Available
Dan Ige,"(1991-08-06) August 6, 1991 (age 27)Honolulu, Hawaii, United States",5 ft 7 in (1.70 m)[1],145 lb (66 kg; 10.4 st),Featherweight,Not Available,Not Available
Kevin Aguilar,"(1988-09-07) September 7, 1988 (age 30)",5 ft 7 in (1.70 m),145 lb (66 kg; 10 st 5 lb),Featherweight,72 in (183 cm)[1],Not Available
Ashley Yoder,"(1987-10-20) October 20, 1987 (age 31)Indianapolis, Indiana, United States[1]",5 ft 7 in (1.70 m),115 lb (52 kg; 8 st 3 lb),Strawweight,69 in (175 cm)[1],"Wrestling, Boxing, BJJ,Kickboxing[3]"
Luis Peña,"(1993-07-05) July 5, 1993 (age 26)Naples, Italy",6 ft 3 in (1.91 m),155 lb (70 kg; 11 st 1 lb),Lightweight,76 in (193 cm)[1],"Wrestling, Kickboxing, Brazilian Jiu-Jitsu"
Matt Wiman,"(1983-09-19) September 19, 1983 (age 35)Denver, Colorado, U.S.",5 ft 10 in (1.78 m),155 lb (70 kg; 11 st 1 lb),Lightweight,67 in (170 cm),Not Available
Molly McCann,"(1990-05-04) May 4, 1990 (age 29)[1]Liverpool, England",5 ft 4 in (1.63 m),125 lb (57 kg; 8 st 13 lb),Flyweight,62[2] in (157 cm),Not Available
Henry Cejudo,"(1987-02-09) February 9, 1987 (age 32)Los Angeles, California, United States",5 ft 4 in (163 cm)[1],135 lb (61 kg; 9 st 9 lb),Flyweight Bantamweight,64 in (163 cm)[2],Not Available
Marlon Moraes,"(1988-04-26) April 26, 1988 (age 31)Nova Friburgo, Brazil",5 ft 6 in (1.68 m),135 lb (61 kg; 9.6 st),Bantamweight,67 in (170 cm),"Muay Thai, Brazilian Jiu-Jitsu"
Jessica Eye,"(1986-07-27) July 27, 1986 (age 32)Rootstown, Ohio, United States[1]",5 ft 6 in (1.68 m)[2],125 lb (57 kg; 8.9 st),"Flyweight (2010–2013, 2017–present)Bantamweight (2013–2016)",66 in (168 cm)[2],"Boxing, Muay Thai, Wrestling, Brazilian jiu-jitsu"
Tony Ferguson,"Anthony Armand Padilla (1984-02-12) February 12, 1984 (age 35)Oxnard, California, U.S.",5 ft 11 in (1.80 m)[1],155 lb (70 kg; 11.1 st),LightweightWelterweight,76 1⁄2 in (194 cm)[1],"Wrestling, Wing Chun, 10th Planet Jiu-Jitsu, Boxing"
Donald Cerrone,"Donald Anthony Cerrone (1983-03-29) March 29, 1983 (age 36)Denver, Colorado, U.S.",6 ft 1 in (185 cm),156 lb (71 kg; 11.1 st)[1],"Lightweight (2006–2015, 2019–present) Welterweight (2016–2018)",73 in (185 cm)[2][3][4],"Muay Thai, Brazilian Jiu-Jitsu, Gaidojutsu"
Petr Yan,"Petr Evgenyevich Yan (1993-02-11) February 11, 1993 (age 26)Dudinka, Krasnoyarsk Krai, Russia[1]",5 ft 7 1⁄2 in (1.71 m),135 lb (61 kg; 9.6 st),Bantamweight,67 in (170 cm),"Boxing, Brazilian Jiu-Jitsu"
Jimmie Rivera,"James Ernesto Rivera (1989-06-29) June 29, 1989 (age 30)[1]Ramsey, New Jersey, United States",5 ft 4 in (1.63 m)[2],135 lb (61 kg; 9.6 st),Bantamweight Featherweight,68 in (173 cm),Not Available
Blagoy Ivanov,"Blagoy Aleksandrov Ivanov (1986-10-09) October 9, 1986 (age 32)Sofia, People's Republic of Bulgaria (today Bulgaria)",1.80 m (5 ft 11 in),115.4 kg (254 lb; 18.17 st),Heavyweight,73 in (185 cm),"Combat Sambo, Judo, Kickboxing"
Tai Tuivasa,"(1993-03-16) 16 March 1993 (age 26)Sydney, Australia",6 ft 2 in (1.88 m),264 lb (120 kg; 18.9 st),Heavyweight,75 in (191 cm),"Boxing, Kickboxing"
Tatiana Suarez,"Tatiana Yadira Suarez Padilla (1990-12-19) December 19, 1990 (age 28)Covina, California, United States",5 ft 5 in (1.65 m),115 lb (52 kg; 8.2 st),Strawweight,64 in (163 cm),"Wrestling, BJJ, Muay Thai"
Nina Ansaroff,"(1985-12-03) December 3, 1985 (age 33)Weston, Florida, United States",5 ft 5 in (1.65 m),115 lb (52 kg; 8.2 st),StrawweightFlyweight,64 in (163 cm)[1],Not Available
Aljamain Sterling,"Aljamain Sterling (1989-07-21) July 21, 1989 (age 29)Uniondale, New York, U.S.",5 ft 7 in (1.70 m),135 lb (61 kg; 9.6 st),Featherweight Bantamweight,71 in (180 cm)[1],"Wrestling, Muay Thai, Brazilian Jiu-Jitsu"
Pedro Munhoz,"(1986-09-07) September 7, 1986 (age 32)São Paulo, São Paulo, Brazil",5 ft 6 in (1.68 m)[1],135 lb (61 kg; 9.6 st),Bantamweight,65 in (165 cm)[2],"Brazilian Jiu-Jitsu, Kickboxing"
Alexa Grasso,"Karen Alexa Grasso Montes (1993-08-09) August 9, 1993 (age 25)Guadalajara, Jalisco, Mexico",5 ft 5 in (1.65 m),115 lb (52 kg; 8.2 st),Strawweight,Not Available,Boxing
Karolina Kowalkiewicz,"(1985-10-15) October 15, 1985 (age 33)Łódź, Poland",5 ft 3 in (160 cm)[1],115 lb (52 kg; 8 st 3 lb)[2],StrawweightFlyweight,64 in (163 cm)[2],"Muay Thai, Krav Maga"
Calvin Kattar,"Calvin Kattar (1988-03-26) March 26, 1988 (age 31)Methuen, Massachusetts, U.S.",5 ft 11 in (180 cm),145.4 lb (66 kg; 10 st 5 lb),LightweightFeatherweight,72 in (183 cm),Not Available
Ricardo Lamas,"Ricardo Alejandro Lamas (1982-05-21) May 21, 1982 (age 37)Chicago, Illinois, United States",5 ft 8 in (1.73 m),145 lb (66 kg; 10.4 st),Featherweight  Lightweight,71 in (180 cm)[1],Not Available
Xiaonan Yan,"(1989-06-16) June 16, 1989 (age 30)Shenyang, Liaoning, China[1]",5 ft 5 in (1.65 m),115 lb (52 kg; 8 st 3 lb),Atomweight  Strawweight,63[1] in (160 cm),"Sanda,[4] BJJ[4]"
Angela Hill,"(1986-12-10) 10 December 1986 (age 32)Prince George's County, Maryland, U.S.",5 ft 3 in (1.60 m)[1],115 lb (52 kg; 8.2 st),Flyweight (2014) Strawweight (2014–present),64 in (163 cm),"Muay Thai, Kickboxing"
Darren Stewart,"Darren Springer-Stewart[1] (1990-12-30) 30 December 1990 (age 28)[2]Poplar, London, East London, England",6 ft 0 in (1.83 m),84 kg (185 lb; 13 st 3 lb),Light HeavyweightMiddleweight,74 in (188 cm)[3],Not Available
Eddie Wineland,"(1984-06-26) June 26, 1984 (age 35)Houston Texas, United States",5 ft 8 in (1.73 m)[1],135 lb (61 kg; 9.6 st)[2],Bantamweight,69 in (175 cm),"Wrestling, Kickboxing, BJJ"
Katlyn Chookagian,"(1988-12-28) December 28, 1988 (age 30)Quakertown, Pennsylvania, United States",5 ft 9 in (1.75 m),125 lb (57 kg; 8.9 st),BantamweightFlyweight,68 in (173 cm),Not Available
Joanne Calderwood,"(1986-12-23) 23 December 1986 (age 32)Irvine, Scotland",5 ft 6 in (1.68 m)[1],125 lb (57 kg; 8 st 13 lb),Strawweight (2012-2016)  Flyweight (2012-present),66 in (168 cm)[2],Muay Thai
Anthony Smith,"(1988-07-26) July 26, 1988 (age 30)Corpus Christi, Texas, United States",6 ft 3 in (1.91 m)[1],205 lb (93 kg; 14.6 st),Middleweight (185 lbs) (2008–2018) Light Heavyweight (205 lbs) (2018–present),76 in (193 cm)[2],Not Available
