Name,Born,Height,Weight,Division,Reach,Style
Hans Stringer,"(1987-07-06) July 6, 1987 (age 32)Zevenbergen, Netherlands",6 ft 3 in (1.91 m)[1],205 lb (93 kg; 14 st 9 lb),Light heavyweight,73 in (190 cm)[1],Not Available
Mickaël Lebout,"(1987-08-16) August 16, 1987 (age 31)France",5 ft 11 in (1.80 m),155 lb (70 kg; 11.1 st),Lightweight  Welterweight,Not Available,Not Available
Teemu Packalén,"(1987-05-22) May 22, 1987 (age 32)Turku, Finland",6 ft 1 in (1.85 m),70 kg (154 lb; 11 st 0 lb),Lightweight,72 in (183 cm)[2],"Wrestling, Boxing, BJJ"
Paul Redmond,"Paul Redmond (1986-10-20) October 20, 1986 (age 32)Dublin, Ireland",5 ft 10 in (1.78 m),160.5 lb (72.8 kg; 11.46 st),LightweightFeatherweight,70.0 in (178 cm)[1],Not Available
Marcus Brimage,"Marcus Clyde Brimage (1985-04-06) April 6, 1985 (age 34)Colorado Springs, Colorado",5 ft 4 in (1.63 m)[1],135 lb (61 kg; 9.6 st),LightweightFeatherweightBantamweight,71 in (180 cm)[1],Not Available
Todd Duffee,"(1985-12-06) December 6, 1985 (age 33)Evansville, Indiana, United States",6 ft 3 in (1.91 m)[2],241 lb (109 kg; 17 st 3 lb),Heavyweight,79 in (201 cm)[2],Not Available
Josh Thomson,"(1978-09-21) September 21, 1978 (age 40)San Jose, California, United States",5 ft 10 in (1.78 m)[1],155 lb (70 kg; 11.1 st)[2],Lightweight,71 in (180 cm)[1],"Kickboxing, Wrestling, Muay Thai, Brazilian Jiu-Jitsu"
Igor Araújo,"Igor Araújo (1980-12-06) December 6, 1980 (age 38)Brasilia, Brazil",6 ft 1 in (1.85 m),170 lb (77 kg; 12 st),Light HeavyweightMiddleweightWelterweight,77 in (200 cm)[1],Not Available
Ildemar Alcântara,"Ildemar Alcântara (1982-11-17) November 17, 1982 (age 36)Soure, Pará, Brazil",6 ft 2 in (1.88 m),185.2 lb (84.0 kg; 13.23 st),"Welterweight (2013-2014)  Middleweight (2007-2012, 2015-present)  Light Heavyweight (2005-2007, 2013)  Heavyweight (2009)",78 in (198 cm)[1],Not Available
Andrew Craig,"(1986-01-15) January 15, 1986 (age 33)Houston, Texas, United States",6 ft 1 in (1.85 m),171 lb (78 kg; 12.2 st),Middleweight Welterweight,76 in (193 cm)[1],Not Available
Dan Miller,"Daniel James Miller (1981-06-30) June 30, 1981 (age 38)Sparta Township, New Jersey, United States",6 ft 1 in (1.85 m)[1],185 lb (84 kg; 13.2 st),Welterweight  Middleweight,74.0 in (188 cm)[1],Not Available
Darrell Montague,"(1987-11-03) November 3, 1987 (age 31)Chino, California, United States",5 ft 6 in (1.68 m)[1],125 lb (57 kg; 8.9 st),Flyweight (125 lb)  Bantamweight (135 lb),67.0 in (170 cm)[2],Not Available
Mike Swick,"(1979-06-19) June 19, 1979 (age 40)Houston, Texas, United States",6 ft 1 in (1.85 m)[1],170 lb (77 kg; 12 st),Middleweight (185 lb)  Welterweight (170 lb)  Light Heavyweight (205 lb),77 in (200 cm),Not Available
Yosdenis Cedeno,"(1985-02-12) February 12, 1985 (age 34)Havana, Cuba",5 ft 8 in (1.73 m)[1],155 lb (70 kg; 11.1 st),Lightweight,Not Available,Not Available
Eddie Gordon,"Eddie Gordon (1983-07-22) July 22, 1983 (age 35)Montego Bay, Jamaica",6 ft 0 in (1.83 m)[1],185.6 lb (84.2 kg; 13.26 st),Middleweight,75.0 in (191 cm)[2],Boxing
Niklas Bäckström,"(1989-08-22) 22 August 1989 (age 29)Luleå, Sweden",6 ft 0 in (1.83 m),145 lb (66 kg; 10 st 5 lb),Featherweight (2009-present)  Lightweight (2016),73 in (185 cm)[1],"Kickboxing, Boxing, Submission Wrestling"
Yuta Sasaki,"(1989-10-07) October 7, 1989 (age 29)Numazu, Shizuoka, Japan",5 ft 10 in (1.78 m),126 lb (57 kg; 9.0 st),FeatherweightBantamweight Flyweight,71 in (180 cm)[1],"Wrestling, BJJ, Shootfighting"
Clay Collard,"(1993-03-10) March 10, 1993 (age 26)Payson, Utah, United States",5 ft 11 in (1.80 m)[1],145 lb (66 kg; 10.4 st),FeatherweightLightweight,73.0 in (185 cm)[1],Not Available
Brian Ebersole,"(1980-11-27) November 27, 1980 (age 38)La Porte, Indiana, United States",6 ft 0 in (1.83 m)[1],170 lb (77 kg; 12 st),LightweightWelterweight (current)MiddleweightLight HeavyweightHeavyweight,73.0 in (185 cm),Not Available
Justin Edwards,"Justin Ross Edwards (1983-01-26) January 26, 1983 (age 36)Mansfield, Ohio, United States",5 ft 10 in (1.78 m)[1],170 lb (77 kg; 12 st),LightweightWelterweight,70.0 in (178 cm)[1],Not Available
Ryan Jimmo,"(1981-11-27)November 27, 1981Saint John, New Brunswick, Canada",6 ft 1 in (1.85 m),205 lb (93 kg; 14.6 st),Light heavyweight,73.0 in (185 cm)[1],Not Available
Josh Sampo,"Joshua Sampo (1984-07-24) July 24, 1984 (age 34)Las Vegas, Nevada, United States",5 ft 4 in (163 cm)[1],125 lb (57 kg; 8 st 13 lb),Flyweight  Bantamweight,64.5 in (164 cm)[2],Not Available
Costas Philippou,"Constantinos Philippou (1979-11-29) 29 November 1979 (age 39)Limassol, Cyprus",5 ft 11 in (1.80 m),185 lb (84 kg; 13.2 st),Middleweight Light Heavyweight,73.0 in (185 cm)[1],"Boxing, BJJ"
